City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,montbrison,45.6667,4.0833,12.19,85,99,1.0,FR,1683612655
1,carutapera,-1.195,-46.02,24.48,92,50,1.4,BR,1683612655
2,tiksi,71.6872,128.8694,-4.43,70,88,8.85,RU,1683612186
3,islamkot,24.6997,70.177,38.36,16,0,5.25,PK,1683612656
4,puerto natales,-51.7236,-72.4875,3.43,84,13,2.05,CL,1683612181
5,port lincoln,-34.7333,135.8667,16.19,64,92,4.7,AU,1683612263
6,kirensk,57.7853,108.1119,20.05,45,9,5.61,RU,1683612656
7,alavus,62.5833,23.6167,9.21,54,100,4.09,FI,1683612656
8,nenjiang,49.1833,125.2167,14.92,12,0,8.55,CN,1683612657
9,fort bragg,35.139,-79.006,22.91,83,100,4.12,US,1683612220
10,isafjordur,66.0755,-23.124,4.46,98,100,2.64,IS,1683612187
11,port-aux-francais,-49.35,70.2167,6.63,94,87,6.51,TF,1683612188
12,waitangi,-43.9535,-176.5597,15.46,93,99,4.47,NZ,1683612185
13,bredasdorp,-34.5322,20.0403,12.43,93,32,1.45,ZA,1683612200
14,sungai penuh,-2.0833,101.3833,27.72,47,92,2.52,ID,1683612658
15,alice springs,-23.7,133.8833,17.75,22,0,6.69,AU,1683612198
16,sirohi,24.8833,72.8667,37.9,11,0,3.88,IN,1683612658
17,adamstown,-25.066,-130.1015,21.76,55,99,4.52,PN,1683612186
18,tselinnoye,53.0833,85.6667,24.4,27,80,4.43,RU,1683612658
19,olonkinbyen,70.9221,-8.7187,1.81,100,100,2.8,SJ,1683612232
20,kununurra,-15.7667,128.7333,26.99,24,12,5.66,AU,1683612659
21,nagqu,31.5,92.0,2.2,49,100,6.44,CN,1683612659
22,wynyard,-41.0,145.7167,12.21,79,85,4.23,AU,1683612659
23,sisimiut,66.9395,-53.6735,-1.16,86,100,4.94,GL,1683612233
24,mbanza-ngungu,-5.25,14.8667,21.07,96,71,0.96,CD,1683612435
25,tucuma,-0.1833,-50.05,24.22,94,66,1.28,BR,1683612660
26,colares,38.7992,-9.4469,19.97,88,76,10.28,PT,1683612660
27,margaret river,-33.95,115.0667,20.9,69,28,5.91,AU,1683612180
28,rio gallegos,-51.6226,-69.2181,0.03,93,0,6.17,AR,1683612361
29,atafu village,-8.5421,-172.5159,29.13,78,16,6.49,TK,1683612291
30,georgetown,5.4112,100.3354,34.96,59,20,3.09,MY,1683612210
31,ilulissat,69.2167,-51.1,-1.99,93,100,2.06,GL,1683612190
32,barras,-4.2444,-42.2944,22.8,86,20,1.02,BR,1683612661
33,bilibino,68.0546,166.4372,0.36,97,100,2.62,RU,1683612187
34,cova figueira,14.8905,-24.2934,20.27,81,3,6.33,CV,1683612661
35,hermanus,-34.4187,19.2345,12.67,86,36,2.53,ZA,1683612180
36,pangody,65.85,74.4859,-5.77,79,33,5.68,RU,1683612662
37,vanimo,-2.6741,141.3028,28.99,75,67,2.13,PG,1683612662
38,yellowknife,62.456,-114.3525,5.29,81,40,2.06,CA,1683612156
39,la'ie,21.6477,-157.9253,25.98,79,5,2.24,US,1683612060
40,ust-nera,64.5667,143.2,2.2,58,93,3.1,RU,1683612181
41,hithadhoo,-0.6,73.0833,28.4,72,58,6.11,MV,1683612207
42,sanctuary point,-35.1114,150.629,18.88,56,46,4.81,AU,1683612663
43,saipan,15.1355,145.701,29.25,100,10,3.58,MP,1683612221
44,guasdualito,7.2424,-70.7324,25.0,100,94,0.51,VE,1683612243
45,fortaleza,-3.7227,-38.5247,27.07,89,40,2.06,BR,1683612000
46,kapuskasing,49.4169,-82.4331,2.05,87,75,1.03,CA,1683612210
47,el oued,33.3561,6.8632,19.43,45,10,3.75,DZ,1683612664
48,hadibu,12.65,54.0333,29.53,64,94,1.8,YE,1683612205
49,invercargill,-46.4,168.35,8.34,95,100,1.34,NZ,1683612185
50,west island,-12.1568,96.8225,29.99,70,40,4.12,CC,1683612197
51,shirvan,39.9509,48.8994,21.72,52,12,3.42,AZ,1683612665
52,puerto ayora,-0.7393,-90.3518,26.42,96,65,0.89,EC,1683612178
53,chom bueng,13.62,99.5917,36.67,39,100,4.22,TH,1683612299
54,utrik,11.2278,169.8474,26.77,84,91,6.07,MH,1683612221
55,puerto baquerizo moreno,-0.9,-89.6,26.02,89,32,3.68,EC,1683612166
56,thompson,55.7435,-97.8558,9.09,66,75,1.03,CA,1683612184
57,albany,42.6001,-73.9662,9.89,70,86,0.45,US,1683611965
58,hamilton,39.1834,-84.5333,18.87,91,70,1.46,US,1683612112
59,monrovia,6.3005,-10.7969,24.87,88,81,3.37,LR,1683612059
